id,question,ground_truth,question_type,difficulty,source_sentence,source_chunk_id,source_page
qa_001,2025年服装行业规模以上企业工业增加值同比下降了多少？,3.0%,数值提取,easy,"根据国家统计局数据,2025 年 1-12 月,服装行业规模以上企业工业增加值同比下降 3.0%,降幅较 2024 年同期回落 3.8 个百分点;",0,2
qa_002,公司未进行2025年度利润分配的原因是什么？,截至2025年12月31日，母公司期末可供分配利润为负，因本年度公司存在未弥补亏损，根据《公司章程》规定，不进行现金分红。,事实检索,medium,"截至2025年12月31日,母公司期末可供分配利润为负,因本年度公司存在未弥补亏损,根据 《公司章程》规定,不进行现金分红。",0,2
qa_003,2025年我国限额以上单位服装类商品零售额同比增长了多少？,2.8%,数值提取,easy,"根据国家统计局数据,2025 年 1-12 月,我国限额以上单位服装类商品零售额 11044.5 亿元,同比增长 2.8%,增速较 2024 年 同期加快 2.7 个百分点;",0,2
qa_004,年报中指出公司面临哪些外部经营风险？,全球贸易摩擦加剧、地缘政治冲突持续、主要经济体政策分化、个别国家新一轮关税冲击。,风险分析,medium,"2025 年,中国经济 ""顶压前行"",从外部环境看,全球贸易摩擦加剧、地缘政治冲突持续、 主要经济体政策分化,特别是个别国家新一轮关税大棒的挥舞,给全球产业链供应链带来剧烈冲击;",0,2
qa_005,2025年我国服装及衣着附件出口额是多少？同比下降幅度为多少？,1511.8亿美元，同比下降5.0%,数值提取,easy,"根据中国海关数据,2025 年 1- 12 月,我国累计完成服装及衣着附件出口 1511.8 亿美元,同比下降 5.0%,增速较 2024 年同期回 落 5.3 个百分点。",1,3
qa_006,公司在国内市场的主营业务包括哪些产品品类？其男装和女装分别有哪些主要系列或定位？,主营自主品牌的男装、女装及各类配套服饰；男装包含西服、衬衣、毛衫、T恤、大衣、休闲服及裤装等，定位中高档商务政务男装；女装分为职业装、礼服、时装、休闲装四大系列，主打商务时尚风格，面向职业女性。,归纳概括,medium,"公司在国内开展服装全链条业务,涵盖生产加工与终端销售,主营自主品牌的男装、女装及 各类配套服饰。其中美尔雅男装品类齐全,包含西服、衬衣、毛衫、T 恤、大衣、休闲服及裤装 等,定位中高档商务政务男装。""美尔雅"" 西服作为公司传统核心产品,不仅获评 ""中国驰名商 标"",还荣获 ""中国服装年度大奖 —— 品质大奖"",在内销业务中占据主导地位。美尔雅女装则 分为职业装、礼服、时装、休闲装四大系列,主要面向职业女性,主打商务时尚风格。",1,3
qa_007,公司在外贸加工业务中采用哪三种运营模式？当前以哪种模式为主？,来料加工、进料加工和一般贸易；以来料加工、进料加工为主。,事实检索,easy,"外贸加工业务主要采用来料加工、进料加工和一般贸易三种运营模式。公司凭借高效的生产 组织能力与精细化现场管理,结合成熟的营销网络和订单资源,形成以来料加工、进料加工为主 的外贸业务格局。",1,3
qa_008,公司在内销市场构建了哪几种营销渠道？各类渠道分别服务于哪些客户群体或消费场景？,零售、团购定制、线上网购；零售以直营店、加盟店、商场专柜为主要形式，直面消费者，满足即时购买需求并展示品牌形象；团购定制主要服务金融、电力、电信、政府机构、学校及各类企事业单位；网购依托京东、天猫、抖音等平台，销售与线下差异化的产品，补充完善线下营销网络。,归纳概括,medium,"在国内市场,公司构建了零售、团购定制、线上网购相结合的多元化营销体系,通过整合数 据、消费场景与各类资源,实现对不同消费场景和客户群体的全覆盖。零售以直营店、加盟店、 商场专柜为主要形式,直面消费者,满足即时购买需求,同时也是品牌形象展示的重要平台;团 购定制主要承接各类团体服装加工与定制业务,服务金融、电力、电信、政府机构、学校及各类 企事业单位,业务表现易受宏观经济形势及客户经营状况影响;网购渠道依托京东、天猫、抖音 等平台,销售与线下门店差异化的产品,有效补充和完善了线下营销网络。",1,3
qa_009,公司推动企业发展模式升级的目标方向是什么？,从规模扩张向高质量增长升级,事实检索,easy,"通过夯实组织运营、数据应用、供应链管理等 核心能力,最终推动企业发展模式从规模扩张向高质量增长升级。",2,3
qa_010,公司在国际市场采取了哪些策略以保障业务稳定发展？,通过灵活布局供应链、精细化深耕区域市场,归纳概括,medium,"国际市场则通过灵活布局供 应链、精细化深耕区域市场,保障业务稳定发展。",2,3
